pair_id,left_qid,right_qid,left_image_id,right_image_id,left_image_filename,right_image_filename,left_image_relative_path,right_image_relative_path,left_oss_url,right_oss_url,left_city,right_city,left_cluster,right_cluster,same_city,same_cluster,pair_type,left_right_random_seed,participant_slot,order_in_participant
PAIR_3157,Q049,Q446,CD_470364,CQ_663741,Q049__cd_470364_104.1093185_30.65956124.jpg,Q446__cq_663741_106.5063_29.52825.jpg,images/Q049__cd_470364_104.1093185_30.65956124.jpg,images/Q446__cq_663741_106.5063_29.52825.jpg,,,chengdu,chongqing,8,12,False,False,cross_city_cross_cluster,134833584,P_SLOT_001,28
PAIR_4575,Q307,Q309,CD_52207,CD_32132,Q307__cd_52207_104.1087192_30.64592402.jpg,Q309__cd_32132_104.0656365_30.72653447.jpg,images/Q307__cd_52207_104.1087192_30.64592402.jpg,images/Q309__cd_32132_104.0656365_30.72653447.jpg,,,chengdu,chengdu,1,1,True,True,same_city_same_cluster,913364758,P_SLOT_001,29
PAIR_2491,Q406,Q160,CQ_651294,CQ_717204,Q406__cq_651294_106.491611_29.50286.jpg,Q160__cq_717204_106.559153_29.476584.jpg,images/Q406__cq_651294_106.491611_29.50286.jpg,images/Q160__cq_717204_106.559153_29.476584.jpg,,,chongqing,chongqing,1,1,True,True,same_city_same_cluster,448560194,P_SLOT_001,30
PAIR_2460,Q066,Q461,CD_455725,CQ_744216,Q066__cd_455725_103.9936497_30.6540582.jpg,Q461__cq_744216_106.59105_29.584475.jpg,images/Q066__cd_455725_103.9936497_30.6540582.jpg,images/Q461__cq_744216_106.59105_29.584475.jpg,,,chengdu,chongqing,10,15,False,False,cross_city_cross_cluster,282608638,P_SLOT_002,1
PAIR_4757,Q310,Q402,CD_220892,CQ_3162024,Q310__cd_220892_104.0936473_30.69099078.jpg,Q402__cq_3162024_106.457093_29.484764.jpg,images/Q310__cd_220892_104.0936473_30.69099078.jpg,images/Q402__cq_3162024_106.457093_29.484764.jpg,,,chengdu,chongqing,1,0,False,False,cross_city_cross_cluster,723864994,P_SLOT_002,2
PAIR_5714,Q131,Q484,CD_53708,CQ_2431630,Q131__cd_53708_104.109623_30.64517741.jpg,Q484__cq_2431630_106.585359_29.60518.jpg,images/Q131__cd_53708_104.109623_30.64517741.jpg,images/Q484__cq_2431630_106.585359_29.60518.jpg,,,chengdu,chongqing,21,21,False,True,cross_city_same_cluster,915132351,P_SLOT_002,3
PAIR_0258,Q443,Q071,CQ_2433039,CD_53464,Q443__cq_2433039_106.554688_29.553028.jpg,Q071__cd_53464_104.0210467_30.64478705.jpg,images/Q443__cq_2433039_106.554688_29.553028.jpg,images/Q071__cd_53464_104.0210467_30.64478705.jpg,,,chongqing,chengdu,11,11,False,True,cross_city_same_cluster,177006741,P_SLOT_002,4
PAIR_0651,Q351,Q281,CD_469218,CQ_3153415,Q351__cd_469218_104.1124922_30.63843994.jpg,Q281__cq_3153415_106.467213_29.525643.jpg,images/Q351__cd_469218_104.1124922_30.63843994.jpg,images/Q281__cq_3153415_106.467213_29.525643.jpg,,,chengdu,chongqing,12,22,False,False,cross_city_cross_cluster,95073283,P_SLOT_002,5
PAIR_3479,Q147,Q285,CD_411845,CQ_692112,Q147__cd_411845_104.0948772_30.70170568.jpg,Q285__cq_692112_106.5294_29.588927.jpg,images/Q147__cd_411845_104.0948772_30.70170568.jpg,images/Q285__cq_692112_106.5294_29.588927.jpg,,,chengdu,chongqing,24,22,False,False,cross_city_cross_cluster,330307827,P_SLOT_002,6
PAIR_5759,Q399,Q400,CD_413646,CD_32321,Q399__cd_413646_104.0863978_30.70294605.jpg,Q400__cd_32321_104.1081654_30.7151985.jpg,images/Q399__cd_413646_104.0863978_30.70294605.jpg,images/Q400__cd_32321_104.1081654_30.7151985.jpg,,,chengdu,chengdu,24,24,True,True,same_city_same_cluster,325804815,P_SLOT_002,7
PAIR_3065,Q190,Q450,CQ_650646,CQ_683177,Q190__cq_650646_106.495917_29.561839.jpg,Q450__cq_683177_106.523267_29.46174.jpg,images/Q190__cq_650646_106.495917_29.561839.jpg,images/Q450__cq_683177_106.523267_29.46174.jpg,,,chongqing,chongqing,6,12,True,False,same_city_cross_cluster,905579732,P_SLOT_002,8
PAIR_4823,Q119,Q040,CD_35462,CD_463225,Q119__cd_35462_104.0479474_30.71182662.jpg,Q040__cd_463225_104.060964_30.60157191.jpg,images/Q119__cd_35462_104.0479474_30.71182662.jpg,images/Q040__cd_463225_104.060964_30.60157191.jpg,,,chengdu,chengdu,19,7,True,False,same_city_cross_cluster,31648741,P_SLOT_002,9
PAIR_0753,Q165,Q500,CQ_3306890,CQ_3205369,Q165__cq_3306890_106.498966_29.583597.jpg,Q500__cq_3205369_106.565834_29.594722.jpg,images/Q165__cq_3306890_106.498966_29.583597.jpg,images/Q500__cq_3205369_106.565834_29.594722.jpg,,,chongqing,chongqing,2,24,True,False,same_city_cross_cluster,168477636,P_SLOT_002,10
PAIR_5910,Q301,Q153,CD_36830,CQ_3307560,Q301__cd_36830_104.0225511_30.70270588.jpg,Q153__cq_3307560_106.486728_29.596466.jpg,images/Q301__cd_36830_104.0225511_30.70270588.jpg,images/Q153__cq_3307560_106.486728_29.596466.jpg,,,chengdu,chongqing,0,0,False,True,cross_city_same_cluster,151477376,P_SLOT_002,11
PAIR_4598,Q169,Q386,CQ_716083,CD_33819,Q169__cq_716083_106.55942_29.592271.jpg,Q386__cd_33819_104.0636292_30.67578884.jpg,images/Q169__cq_716083_106.55942_29.592271.jpg,images/Q386__cd_33819_104.0636292_30.67578884.jpg,,,chongqing,chengdu,3,20,False,False,cross_city_cross_cluster,590872981,P_SLOT_002,12
PAIR_4384,Q401,Q297,CQ_3203944,CQ_681507,Q401__cq_3203944_106.518827_29.441484.jpg,Q297__cq_681507_106.521612_29.595666.jpg,images/Q401__cq_3203944_106.518827_29.441484.jpg,images/Q297__cq_681507_106.521612_29.595666.jpg,,,chongqing,chongqing,0,24,True,False,same_city_cross_cluster,252833011,P_SLOT_002,13
PAIR_0326,Q470,Q291,CQ_686141,CQ_739901,Q470__cq_686141_106.528584_29.583459.jpg,Q291__cq_739901_106.586661_29.582071.jpg,images/Q470__cq_686141_106.528584_29.583459.jpg,images/Q291__cq_739901_106.586661_29.582071.jpg,,,chongqing,chongqing,17,23,True,False,same_city_cross_cluster,10037772,P_SLOT_002,14
PAIR_1753,Q482,Q128,CQ_629586,CD_468453,Q482__cq_629586_106.476932_29.49304.jpg,Q128__cd_468453_104.0815805_30.62593432.jpg,images/Q482__cq_629586_106.476932_29.49304.jpg,images/Q128__cd_468453_104.0815805_30.62593432.jpg,,,chongqing,chengdu,20,20,False,True,cross_city_same_cluster,739597584,P_SLOT_002,15
PAIR_5810,Q363,Q133,CD_474086,CD_53656,Q363__cd_474086_104.0754088_30.66261962.jpg,Q133__cd_53656_104.1137243_30.66569591.jpg,images/Q363__cd_474086_104.0754088_30.66261962.jpg,images/Q133__cd_53656_104.1137243_30.66569591.jpg,,,chengdu,chengdu,15,21,True,False,same_city_cross_cluster,938619876,P_SLOT_002,16
PAIR_4939,Q468,Q099,CQ_744383,CD_454357,Q468__cq_744383_106.595107_29.564042.jpg,Q099__cd_454357_103.9988652_30.65087681.jpg,images/Q468__cq_744383_106.595107_29.564042.jpg,images/Q099__cd_454357_103.9988652_30.65087681.jpg,,,chongqing,chengdu,16,16,False,True,cross_city_same_cluster,464929590,P_SLOT_002,17
PAIR_0505,Q014,Q253,CD_420939,CQ_2431841,Q014__cd_420939_104.046263_30.70875123.jpg,Q253__cq_2431841_106.553052_29.522119.jpg,images/Q014__cd_420939_104.046263_30.70875123.jpg,images/Q253__cq_2431841_106.553052_29.522119.jpg,,,chengdu,chongqing,2,17,False,False,cross_city_cross_cluster,436398266,P_SLOT_002,18
PAIR_5341,Q424,Q465,CQ_725117,CQ_603815,Q424__cq_725117_106.574342_29.55963.jpg,Q465__cq_603815_106.457731_29.553842.jpg,images/Q424__cq_725117_106.574342_29.55963.jpg,images/Q465__cq_603815_106.457731_29.553842.jpg,,,chongqing,chongqing,5,15,True,False,same_city_cross_cluster,250480708,P_SLOT_002,19
PAIR_6111,Q011,Q175,CD_464027,CQ_712142,Q011__cd_464027_104.0527891_30.611365.jpg,Q175__cq_712142_106.559725_29.556077.jpg,images/Q011__cd_464027_104.0527891_30.611365.jpg,images/Q175__cq_712142_106.559725_29.556077.jpg,,,chengdu,chongqing,1,4,False,False,cross_city_cross_cluster,641022331,P_SLOT_002,20
PAIR_1083,Q055,Q495,CD_52413,CQ_681349,Q055__cd_52413_104.1026248_30.64230344.jpg,Q495__cq_681349_106.521299_29.600925.jpg,images/Q055__cd_52413_104.1026248_30.64230344.jpg,images/Q495__cq_681349_106.521299_29.600925.jpg,,,chengdu,chongqing,9,23,False,False,cross_city_cross_cluster,161521997,P_SLOT_002,21
PAIR_7441,Q022,Q314,CD_52896,CD_53622,Q022__cd_52896_104.0521807_30.62352954.jpg,Q314__cd_53622_104.1085936_30.64618793.jpg,images/Q022__cd_52896_104.0521807_30.62352954.jpg,images/Q314__cd_53622_104.1085936_30.64618793.jpg,,,chengdu,chengdu,3,3,True,True,same_city_same_cluster,613315841,P_SLOT_002,22
PAIR_0270,Q446,Q435,CQ_663741,CQ_681375,Q446__cq_663741_106.5063_29.52825.jpg,Q435__cq_681375_106.520554_29.605586.jpg,images/Q446__cq_663741_106.5063_29.52825.jpg,images/Q435__cq_681375_106.520554_29.605586.jpg,,,chongqing,chongqing,12,8,True,False,same_city_cross_cluster,489957855,P_SLOT_002,23
PAIR_5661,Q074,Q427,CD_464707,CQ_3308939,Q074__cd_464707_104.008273_30.62333194.jpg,Q427__cq_3308939_106.584039_29.603334.jpg,images/Q074__cd_464707_104.008273_30.62333194.jpg,images/Q427__cq_3308939_106.584039_29.603334.jpg,,,chengdu,chongqing,11,6,False,False,cross_city_cross_cluster,981487139,P_SLOT_002,24
PAIR_5542,Q327,Q300,CD_237755,CQ_700764,Q327__cd_237755_104.0373913_30.6178264.jpg,Q300__cq_700764_106.546749_29.586232.jpg,images/Q327__cd_237755_104.0373913_30.6178264.jpg,images/Q300__cq_700764_106.546749_29.586232.jpg,,,chengdu,chongqing,7,24,False,False,cross_city_cross_cluster,401082854,P_SLOT_002,25
PAIR_7362,Q355,Q416,CD_454390,CQ_716159,Q355__cd_454390_103.9918604_30.65872266.jpg,Q416__cq_716159_106.562555_29.582879.jpg,images/Q355__cd_454390_103.9918604_30.65872266.jpg,images/Q416__cq_716159_106.562555_29.582879.jpg,,,chengdu,chongqing,13,3,False,False,cross_city_cross_cluster,119136560,P_SLOT_002,26
PAIR_5167,Q431,Q052,CQ_3305984,CD_472763,Q431__cq_3305984_106.518044_29.610399.jpg,Q052__cd_472763_104.0830682_30.64878946.jpg,images/Q431__cq_3305984_106.518044_29.610399.jpg,images/Q052__cd_472763_104.0830682_30.64878946.jpg,,,chongqing,chengdu,8,8,False,True,cross_city_same_cluster,995008162,P_SLOT_002,27
PAIR_3541,Q397,Q003,CD_420902,CD_417210,Q397__cd_420902_104.0492904_30.70818039.jpg,Q003__cd_417210_104.0918842_30.68716627.jpg,images/Q397__cd_420902_104.0492904_30.70818039.jpg,images/Q003__cd_417210_104.0918842_30.68716627.jpg,,,chengdu,chengdu,23,0,True,False,same_city_cross_cluster,383041838,P_SLOT_002,28
PAIR_0210,Q282,Q284,CQ_629049,CQ_3426844,Q282__cq_629049_106.476778_29.545423.jpg,Q284__cq_3426844_106.484603_29.510427.jpg,images/Q282__cq_629049_106.476778_29.545423.jpg,images/Q284__cq_3426844_106.484603_29.510427.jpg,,,chongqing,chongqing,22,22,True,True,same_city_same_cluster,220833218,P_SLOT_002,29
PAIR_4413,Q096,Q442,CD_414081,CQ_682750,Q096__cd_414081_104.0429797_30.6890737.jpg,Q442__cq_682750_106.523416_29.495682.jpg,images/Q096__cd_414081_104.0429797_30.6890737.jpg,images/Q442__cq_682750_106.523416_29.495682.jpg,,,chengdu,chongqing,16,10,False,False,cross_city_cross_cluster,319575447,P_SLOT_002,30
PAIR_4410,Q157,Q400,CQ_681395,CD_32321,Q157__cq_681395_106.519933_29.596233.jpg,Q400__cd_32321_104.1081654_30.7151985.jpg,images/Q157__cq_681395_106.519933_29.596233.jpg,images/Q400__cd_32321_104.1081654_30.7151985.jpg,,,chongqing,chengdu,1,24,False,False,cross_city_cross_cluster,77560431,P_SLOT_003,1
PAIR_4442,Q018,Q323,CD_463463,CD_465763,Q018__cd_463463_104.0039616_30.65256917.jpg,Q323__cd_465763_104.0215092_30.61577948.jpg,images/Q018__cd_463463_104.0039616_30.65256917.jpg,images/Q323__cd_465763_104.0215092_30.61577948.jpg,,,chengdu,chengdu,2,6,True,False,same_city_cross_cluster,795938298,P_SLOT_003,2
PAIR_6761,Q016,Q411,CD_461159,CQ_728958,Q016__cd_461159_103.9962119_30.63818116.jpg,Q411__cq_728958_106.579877_29.559292.jpg,images/Q016__cd_461159_103.9962119_30.63818116.jpg,images/Q411__cq_728958_106.579877_29.559292.jpg,,,chengdu,chongqing,2,2,False,True,cross_city_same_cluster,444320347,P_SLOT_003,3
PAIR_1385,Q460,Q092,CQ_2434449,CD_468263,Q460__cq_2434449_106.537656_29.57606.jpg,Q092__cd_468263_104.0695442_30.6150538.jpg,images/Q460__cq_2434449_106.537656_29.57606.jpg,images/Q092__cd_468263_104.0695442_30.6150538.jpg,,,chongqing,chengdu,15,15,False,True,cross_city_same_cluster,46313129,P_SLOT_003,4
PAIR_2902,Q491,Q145,CQ_676820,CD_50591,Q491__cq_676820_106.517638_29.603895.jpg,Q145__cd_50591_104.0753906_30.60710123.jpg,images/Q491__cq_676820_106.517638_29.603895.jpg,images/Q145__cd_50591_104.0753906_30.60710123.jpg,,,chongqing,chengdu,23,23,False,True,cross_city_same_cluster,875802186,P_SLOT_003,5
PAIR_3242,Q336,Q054,CD_33323,CD_57854,Q336__cd_33323_104.0592457_30.72335983.jpg,Q054__cd_57854_104.1339226_30.61757939.jpg,images/Q336__cd_33323_104.0592457_30.72335983.jpg,images/Q054__cd_57854_104.1339226_30.61757939.jpg,,,chengdu,chengdu,9,9,True,True,same_city_same_cluster,667040742,P_SLOT_003,6
PAIR_1791,Q388,Q164,CD_56502,CQ_629422,Q388__cd_56502_104.1322712_30.60902527.jpg,Q164__cq_629422_106.479516_29.498419.jpg,images/Q388__cd_56502_104.1322712_30.60902527.jpg,images/Q164__cq_629422_106.479516_29.498419.jpg,,,chengdu,chongqing,20,2,False,False,cross_city_cross_cluster,907653320,P_SLOT_003,7
PAIR_5760,Q330,Q046,CD_50706,CD_462116,Q330__cd_50706_104.0873236_30.60868533.jpg,Q046__cd_462116_103.9948189_30.6464695.jpg,images/Q330__cd_50706_104.0873236_30.60868533.jpg,images/Q046__cd_462116_103.9948189_30.6464695.jpg,,,chengdu,chengdu,7,7,True,True,same_city_same_cluster,234274786,P_SLOT_003,8
PAIR_1975,Q480,Q056,CQ_2913663,CD_55723,Q480__cq_2913663_106.507381_29.592937.jpg,Q056__cd_55723_104.046615_30.66423983.jpg,images/Q480__cq_2913663_106.507381_29.592937.jpg,images/Q056__cd_55723_104.046615_30.66423983.jpg,,,chongqing,chengdu,20,9,False,False,cross_city_cross_cluster,309347950,P_SLOT_003,9
PAIR_5387,Q004,Q417,CD_478379,CQ_613135,Q004__cd_478379_104.1359653_30.61482598.jpg,Q417__cq_613135_106.460857_29.579991.jpg,images/Q004__cd_478379_104.1359653_30.61482598.jpg,images/Q417__cq_613135_106.460857_29.579991.jpg,,,chengdu,chongqing,0,3,False,False,cross_city_cross_cluster,275273022,P_SLOT_003,10
PAIR_5192,Q448,Q079,CQ_728802,CD_427488,Q448__cq_728802_106.580124_29.586213.jpg,Q079__cd_427488_104.1448467_30.66704602.jpg,images/Q448__cq_728802_106.580124_29.586213.jpg,images/Q079__cd_427488_104.1448467_30.66704602.jpg,,,chongqing,chengdu,12,12,False,True,cross_city_same_cluster,749493903,P_SLOT_003,11
PAIR_3396,Q447,Q269,CQ_3420869,CQ_3306780,Q447__cq_3420869_106.541134_29.599774.jpg,Q269__cq_3306780_106.522286_29.577289.jpg,images/Q447__cq_3420869_106.541134_29.599774.jpg,images/Q269__cq_3306780_106.522286_29.577289.jpg,,,chongqing,chongqing,12,20,True,False,same_city_cross_cluster,57168581,P_SLOT_003,12
PAIR_5178,Q458,Q102,CQ_629201,CD_473655,Q458__cq_629201_106.480125_29.525896.jpg,Q102__cd_473655_104.0600019_30.65693068.jpg,images/Q458__cq_629201_106.480125_29.525896.jpg,images/Q102__cd_473655_104.0600019_30.65693068.jpg,,,chongqing,chengdu,14,17,False,False,cross_city_cross_cluster,432959806,P_SLOT_003,13
PAIR_1047,Q053,Q177,CD_413805,CQ_603702,Q053__cd_413805_104.1247536_30.71138537.jpg,Q177__cq_603702_106.462833_29.555535.jpg,images/Q053__cd_413805_104.1247536_30.71138537.jpg,images/Q177__cq_603702_106.462833_29.555535.jpg,,,chengdu,chongqing,9,4,False,False,cross_city_cross_cluster,296440227,P_SLOT_003,14
PAIR_0625,Q357,Q246,CD_469821,CQ_3304879,Q357__cd_469821_104.0231219_30.63547153.jpg,Q246__cq_3304879_106.527284_29.572082.jpg,images/Q357__cd_469821_104.0231219_30.63547153.jpg,images/Q246__cq_3304879_106.527284_29.572082.jpg,,,chengdu,chongqing,14,16,False,False,cross_city_cross_cluster,833832028,P_SLOT_003,15
PAIR_3494,Q415,Q166,CQ_3156161,CQ_700951,Q415__cq_3156161_106.494285_29.488688.jpg,Q166__cq_700951_106.542605_29.574302.jpg,images/Q415__cq_3156161_106.494285_29.488688.jpg,images/Q166__cq_700951_106.542605_29.574302.jpg,,,chongqing,chongqing,3,2,True,False,same_city_cross_cluster,902267143,P_SLOT_003,16
